ChurnCategoryID,ChurnReasonID
2,18
3,19
3,15
3,12
2,4
5,8
4,3
1,1
2,3
2,3
3,19
1,2
2,2
2,5
1,1
2,6
2,18
1,1
2,5
1,2
4,10
4,9
2,18
2,2
1,1
1,2
2,6
5,7
3,15
4,10
2,4
2,8
2,6
2,5
2,2
5,14
2,5
2,3
1,11
2,19
2,4
1,11
1,10
1,15
2,3
2,2
2,15
2,3
3,20
3,20
2,20
5,8
2,6
1,11
2,6
2,6
2,3
4,18
1,1
2,20
4,18
5,8
2,14
5,8
1,1
1,1
5,8
2,5
5,7
2,9
3,15
1,11
5,8
4,18
3,11
3,19
4,10
3,20
1,2
1,2
3,12
5,8
4,18
1,11
2,5
4,10
4,13
3,19
5,8
2,6
5,8
2,5
2,4
2,11
1,2
3,15
3,20
4,18
5,8
1,5
2,10
3,12
2,2
5,14
3,20
2,11
2,5
2,19
1,1
4,13
3,20
4,18
2,3
2,4
4,9
4,13
1,2
2,8
5,8
2,5
5,8
2,5
1,1
2,6
3,15
1,2
2,6
2,6
2,18
2,6
3,15
4,13
2,6
1,11
2,4
2,15
3,12
2,4
2,3
2,5
4,10
5,4
2,5
4,9
2,3
2,8
2,3
3,19
4,13
2,20
1,2
2,6
2,5
2,18
2,1
2,5
4,13
2,6
2,4
2,6
2,16
5,8
5,5
1,2
4,18
2,5
2,3
2,6
1,2
4,13
2,6
2,3
3,12
1,1
2,5
2,6
3,15
4,9
1,2
1,1
2,6
2,5
2,6
2,3
2,4
2,5
4,13
1,2
2,4
2,3
2,9
5,7
2,4
1,6
2,18
3,19
2,2
2,6
3,15
1,5
1,2
3,20
2,14
2,4
2,3
1,11
1,2
5,8
1,10
2,6
2,5
3,20
2,5
5,8
5,8
2,3
5,8
1,1
2,3
2,1
2,6
2,5
1,2
2,6
5,14
5,8
3,11
2,4
3,15
4,9
2,6
4,8
4,18
2,4
4,13
2,4
2,6
1,1
3,12
2,3
5,8
1,11
2,4
4,13
1,1
3,20
4,9
5,8
3,11
5,8
2,15
1,2
2,1
2,5
2,4
5,14
2,4
3,11
1,1
2,2
4,13
3,19
3,19
2,6
2,5
2,3
4,11
2,1
1,2
5,14
3,11
2,5
3,20
4,1
1,1
2,4
2,5
3,19
2,12
3,16
2,17
5,14
3,12
4,18
1,2
2,5
3,19
5,8
2,3
1,15
2,4
2,3
1,2
3,11
2,2
5,6
5,8
5,8
4,10
4,18
2,1
1,2
5,8
2,3
5,14
2,3
3,19
2,3
1,2
2,4
3,11
2,5
2,5
5,8
2,5
1,5
5,8
1,2
2,3
3,17
2,12
2,8
4,10
2,2
5,8
2,4
4,9
3,20
3,17
2,3
1,2
4,18
2,11
2,4
4,18
2,5
2,3
2,4
2,6
1,11
2,15
2,1
2,3
5,4
3,11
2,18
2,5
2,18
2,5
4,3
2,5
4,8
2,4
2,4
2,3
2,6
2,5
2,8
1,1
2,3
4,11
5,14
2,12
3,19
2,4
2,6
2,6
4,10
2,15
1,2
2,6
1,5
5,8
5,8
2,6
5,8
2,6
2,9
4,10
2,3
2,4
2,20
2,4
3,15
1,2
4,18
5,14
5,8
1,2
3,19
2,16
5,8
3,20
1,2
3,12
3,15
5,8
3,19
1,1
3,19
5,8
5,8
2,13
2,4
2,5
1,1
5,8
4,8
4,13
3,16
3,19
1,1
2,2
3,20
2,6
3,15
3,20
2,5
2,6
1,11
1,2
1,1
5,12
3,15
4,11
5,8
2,4
