CustomerID,Age,Number_of_Dependents,JoinDate,Tenure,Avg_Monthly_GB_Download,Monthly_Charges,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Avg_Monthly_Long_Distance_Charges,Total_Long_Distance_Charges,Total_Revenue,Satisfaction_Score,DependencyID,Marital_Status_ID,LocationID,Customer_Status_ID,Internet_Service_ID,BillingID,paymentID,ContractID,Phone_Service_ID
1000,37,0,4/1/2020,9,16,65.59999847,593.2999878,0,0,42.38999939,381.5100098,974.8099976,3,1,2,661,2,2,2,4,2,2
1001,46,0,4/1/2020,9,10,59.90000153,542.4000244,38.33000183,10,10.68999958,96.20999908,610.2800293,5,2,1,185,2,2,1,4,1,3
1002,50,0,9/1/2020,4,30,73.90000153,280.8500061,0,0,33.65000153,134.6000061,415.4500122,1,2,1,546,3,3,2,3,1,2
1003,78,0,12/1/2019,13,4,98,1237.849976,0,0,27.81999969,361.6600037,1599.51001,1,2,2,984,3,3,2,3,1,2
1004,75,0,10/1/2020,3,11,83.90000153,267.3999939,0,0,7.380000114,22.13999939,289.5400085,1,2,2,618,3,3,2,4,1,2
1005,23,3,4/1/2020,9,73,69.40000153,571.4500122,0,0,16.77000046,150.9299927,722.3800049,3,1,1,1217,2,2,2,2,1,2
1006,67,0,2/1/2015,71,14,109.6999969,7904.25,0,0,9.960000038,707.1599731,8611.410156,3,2,2,731,2,3,2,1,3,2
1007,52,0,10/1/2015,63,7,84.65000153,5377.799805,0,20,12.96000004,816.4799805,6214.279785,4,2,2,987,2,3,2,2,3,3
1008,68,0,6/1/2020,7,21,48.20000076,340.3500061,0,0,10.52999973,73.70999908,414.0599976,3,2,1,631,2,2,2,3,1,2
1009,43,1,8/1/2015,65,14,90.44999695,5957.899902,0,0,28.45999908,1849.900024,7807.799805,3,1,2,1427,2,2,2,4,3,3
1010,47,0,7/1/2016,54,10,45.20000076,2460.550049,0,0,0,0,2460.550049,4,2,1,352,2,2,1,2,3,1
1011,25,2,1/1/2015,72,59,116.8000031,8456.75,0,0,16.01000023,1152.719971,9609.469727,3,1,2,911,2,3,2,2,3,3
1012,58,0,8/1/2020,5,10,68.94999695,351.5,0,0,18.64999962,93.25,444.75,3,2,2,1490,2,3,2,3,1,2
